MEASURE,DATA_ITEM,TSEST,FREQ,TIME_PERIOD,value
Current Prices,Capital and financial account,Original,Quarterly,2022-Q4,-9619
Current Prices,Capital and financial account,Original,Quarterly,2023-Q1,-11660
Current Prices,Capital and financial account,Original,Quarterly,2023-Q2,-11852
Current Prices,Capital and financial account,Original,Quarterly,2023-Q3,9967
Current Prices,Capital and financial account,Original,Quarterly,2023-Q4,-8605
Current Prices,Capital and financial account,Original,Quarterly,2024-Q1,8307
Current Prices,Services,Original,Quarterly,2022-Q1,-3070
Current Prices,Services,Original,Quarterly,2022-Q2,-5917
Current Prices,Services,Original,Quarterly,2022-Q3,-9401
Current Prices,Services,Original,Quarterly,2022-Q4,-7243
Current Prices,Services,Original,Quarterly,2023-Q1,-1756
Current Prices,Services,Original,Quarterly,2023-Q2,-7787
Current Prices,Services,Original,Quarterly,2023-Q3,-9034
Current Prices,Services,Original,Quarterly,2023-Q4,-5407
Current Prices,Services,Original,Quarterly,2024-Q1,-1320
Current Prices,Capital account,Original,Quarterly,2022-Q1,-186
Current Prices,Capital account,Original,Quarterly,2022-Q2,-211
Current Prices,Capital account,Original,Quarterly,2022-Q3,-179
Current Prices,Capital account,Original,Quarterly,2022-Q4,-129
Current Prices,Capital account,Original,Quarterly,2023-Q1,-134
Current Prices,Capital account,Original,Quarterly,2023-Q2,-202
Current Prices,Capital account,Original,Quarterly,2023-Q3,-171
Current Prices,Capital account,Original,Quarterly,2023-Q4,-147
Current Prices,Capital account,Original,Quarterly,2024-Q1,46
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2022-Q1,78551
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2022-Q2,24720
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2022-Q3,4206
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2022-Q4,32449
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2023-Q1,25098
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2023-Q2,-15906
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2023-Q3,20385
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2023-Q4,52601
Current Prices,"Financial account, Portfolio investment liabilities",Original,Quarterly,2024-Q1,33589
Current Prices,Goods,Original,Quarterly,2022-Q1,32107
Current Prices,Goods,Original,Quarterly,2022-Q2,51819
Current Prices,Goods,Original,Quarterly,2022-Q3,35561
Current Prices,Goods,Original,Quarterly,2022-Q4,41214
Current Prices,Goods,Original,Quarterly,2023-Q1,39829
Current Prices,Goods,Original,Quarterly,2023-Q2,34030
Current Prices,Goods,Original,Quarterly,2023-Q3,21591
Current Prices,Goods,Original,Quarterly,2023-Q4,29462
Current Prices,Goods,Original,Quarterly,2024-Q1,22817
Current Prices,Goods credits,Original,Quarterly,2022-Q1,131196
Current Prices,Goods credits,Original,Quarterly,2022-Q2,157444
Current Prices,Goods credits,Original,Quarterly,2022-Q3,150507
Current Prices,Goods credits,Original,Quarterly,2022-Q4,155668
Current Prices,Goods credits,Original,Quarterly,2023-Q1,144450
Current Prices,Goods credits,Original,Quarterly,2023-Q2,139936
Current Prices,Goods credits,Original,Quarterly,2023-Q3,133830
Current Prices,Goods credits,Original,Quarterly,2023-Q4,140935
Current Prices,Goods credits,Original,Quarterly,2024-Q1,132128
Current Prices,Services credits,Original,Quarterly,2022-Q1,15742
Current Prices,Services credits,Original,Quarterly,2022-Q2,16505
Current Prices,Services credits,Original,Quarterly,2022-Q3,19797
Current Prices,Services credits,Original,Quarterly,2022-Q4,23400
Current Prices,Services credits,Original,Quarterly,2023-Q1,26664
Current Prices,Services credits,Original,Quarterly,2023-Q2,25621
Current Prices,Services credits,Original,Quarterly,2023-Q3,30055
Current Prices,Services credits,Original,Quarterly,2023-Q4,30246
Current Prices,Services credits,Original,Quarterly,2024-Q1,31689
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2022-Q1,6
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2022-Q2,68
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2022-Q3,0
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2022-Q4,0
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2023-Q1,0
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2023-Q2,0
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2023-Q3,0
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2023-Q4,3
Current Prices,"Capital account credits, Gross disposals of non-produced non-financial assets",Original,Quarterly,2024-Q1,209
Current Prices,Financial account,Original,Quarterly,2022-Q1,-5951
Current Prices,Financial account,Original,Quarterly,2022-Q2,-15014
Current Prices,Financial account,Original,Quarterly,2022-Q3,6183
Current Prices,Financial account,Original,Quarterly,2022-Q4,-9490
Current Prices,Financial account,Original,Quarterly,2023-Q1,-11526
Current Prices,Financial account,Original,Quarterly,2023-Q2,-11650
Current Prices,Financial account,Original,Quarterly,2023-Q3,10138
Current Prices,Financial account,Original,Quarterly,2023-Q4,-8458
Current Prices,Financial account,Original,Quarterly,2024-Q1,8261
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2022-Q1,-25333
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2022-Q2,-37307
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2022-Q3,-5374
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2022-Q4,14930
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2023-Q1,5865
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2023-Q2,25214
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2023-Q3,-1676
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2023-Q4,11309
Current Prices,"Financial account, Other investment assets",Original,Quarterly,2024-Q1,9313
Current Prices,Secondary income debits,Original,Quarterly,2022-Q1,-3715
Current Prices,Secondary income debits,Original,Quarterly,2022-Q2,-4109
Current Prices,Secondary income debits,Original,Quarterly,2022-Q3,-3212
Current Prices,Secondary income debits,Original,Quarterly,2022-Q4,-3258
Current Prices,Secondary income debits,Original,Quarterly,2023-Q1,-3842
Current Prices,Secondary income debits,Original,Quarterly,2023-Q2,-4213
Current Prices,Secondary income debits,Original,Quarterly,2023-Q3,-3744
Current Prices,Secondary income debits,Original,Quarterly,2023-Q4,-3139
Current Prices,Secondary income debits,Original,Quarterly,2024-Q1,-3847
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2022-Q1,-39443
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2022-Q2,22533
Current Prices,"Financial account, Portfolio investment assets",Original,Quarterly,2022-Q3,4663
