COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,value
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-08,24935
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-09,34898
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-10,21266
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-11,24043
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2006-12,26658
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-01,20455
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-02,21329
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-03,19715
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-04,34786
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-05,32588
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-06,30327
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-07,22562
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-08,36401
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-09,45251
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-10,32284
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-11,34094
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2007-12,34040
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-01,36491
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-02,50295
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-03,45216
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-04,55894
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-05,70090
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-06,35658
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-07,49789
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-08,40589
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-09,60763
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-10,50081
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-11,47003
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2008-12,29982
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-01,30636
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-02,44403
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-03,41096
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-04,36111
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-05,40287
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-06,44082
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-07,38160
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-08,31736
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-09,45048
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-10,35242
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-11,25183
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2009-12,33906
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-01,25782
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-02,30394
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-03,42561
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-04,42752
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-05,45704
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-06,46894
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-07,40423
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-08,41349
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-09,33607
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-10,32101
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-11,49500
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2010-12,38678
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-01,31130
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-02,56885
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-03,68964
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-04,55518
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-05,45181
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-06,51502
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-07,34742
"Animal and vegetable oils, fats and waxes",Total,Total,Monthly,2011-08,58545
